"x","predicted","std.error","conf.low","conf.high","group"
0.8,0.108786298591386,0.0642920969931643,-0.0177809154245882,0.23535351260736,"Resident"
0.8,0.069632567556414,0.0668801773726794,-0.062029613626667,0.201294748739495,"Short"
0.8,0.149379014371278,0.069802631092759,0.0119636093435867,0.28679441939897,"Long"
0.85,0.111162032950965,0.0461542766823366,0.0203014375153106,0.20202262838662,"Resident"
0.85,0.0896781140172118,0.0482807766683374,-0.00536876855824099,0.184724996592665,"Short"
0.85,0.120393945096086,0.0501243206919252,0.0217178103746644,0.219070079817509,"Long"
0.9,0.113537767310545,0.0306764985966182,0.0531471571932281,0.173928377427862,"Resident"
0.9,0.109723660478009,0.0334998045842652,0.0437750115054799,0.175672309450539,"Short"
0.9,0.0914088758208941,0.0336161394202142,0.025231206847965,0.157586544793823,"Long"
0.95,0.115913501670124,0.0237900118960517,0.069079821203763,0.162747182136485,"Resident"
0.95,0.129769206938806,0.0290958529666901,0.0724902998624991,0.187048114015113,"Short"
0.95,0.0624238065457012,0.0269295232328536,0.00940959656087038,0.115438016530532,"Long"
1,0.118289236029704,0.0317012390241716,0.0558812933463215,0.180697178713087,"Resident"
1,0.149814753399604,0.0387818082833163,0.0734678047312032,0.226161702068005,"Short"
1,0.0334387372705095,0.036026527738814,-0.0374840893259804,0.104361563866999,"Long"
